cow_id,date,days_in_lactation,body_temp_c,activity_index,rumination_min,milk_yield_l,ambient_temp_c,humidity_pct,thi,health_status,alert_flag
COW_19,2025-06-04,59,38.57,53.9,500.5,37.54,20.6,69.4,19.6,Healthy,0
COW_20,2025-06-04,230,38.82,41.3,451.8,37.11,17.2,52.4,16.5,Healthy,0
COW_21,2025-06-04,90,38.5,47.2,464.2,22.44,19.5,58.7,18.3,Healthy,0
COW_22,2025-06-04,209,38.64,33.6,491.7,17.76,19.2,71.8,18.5,Healthy,0
COW_23,2025-06-04,23,38.67,42.3,486.1,33.01,20.7,60.9,19.3,Healthy,0
COW_24,2025-06-04,153,38.93,71.0,452.2,23.0,19.9,81.4,19.3,Healthy,0
COW_25,2025-06-04,210,38.59,44.3,459.3,20.87,20.8,75.4,19.9,Healthy,0
COW_26,2025-06-04,90,38.74,54.5,448.1,22.89,19.5,59.7,18.4,Healthy,0
COW_27,2025-06-04,28,38.51,57.4,575.4,34.72,20.5,77.3,19.8,Healthy,0
COW_28,2025-06-04,184,38.52,50.0,475.7,17.78,18.0,67.3,17.4,Healthy,0
COW_29,2025-06-04,94,38.73,57.7,485.2,24.95,18.3,75.0,17.8,Healthy,0
COW_30,2025-06-04,177,38.85,69.0,487.3,30.59,18.8,70.5,18.1,Healthy,0
COW_01,2025-06-05,30,38.66,59.0,413.8,31.48,21.0,74.0,20.1,Healthy,0
COW_02,2025-06-05,198,38.5,52.2,508.8,29.81,19.0,63.6,18.1,Healthy,0
COW_03,2025-06-05,55,38.76,56.7,489.9,26.72,20.2,60.6,19.0,Healthy,0
COW_04,2025-06-05,52,38.66,55.7,521.7,22.27,22.0,65.5,20.6,Healthy,0
COW_05,2025-06-05,113,38.47,37.7,474.8,18.22,22.1,67.6,20.7,Healthy,0
COW_06,2025-06-05,192,38.52,68.0,475.5,22.65,19.2,55.4,18.0,Healthy,0
COW_07,2025-06-05,217,38.69,69.0,521.3,32.37,21.5,68.9,20.3,Healthy,0
COW_08,2025-06-05,180,38.38,46.3,533.6,32.34,17.6,71.6,17.1,Healthy,0
COW_09,2025-06-05,184,38.52,57.4,497.4,34.82,19.9,60.1,18.7,Healthy,0
COW_10,2025-06-05,245,38.36,58.4,495.6,29.66,21.3,53.3,19.5,Healthy,0
COW_11,2025-06-05,143,38.95,45.5,456.7,31.95,19.9,62.8,18.8,Healthy,0
COW_12,2025-06-05,44,38.56,54.0,448.7,22.91,18.3,58.4,17.4,Healthy,0
COW_13,2025-06-05,133,38.6,50.0,414.6,28.22,16.8,64.7,16.4,Healthy,0
COW_14,2025-06-05,114,38.61,50.3,454.2,34.08,20.3,46.1,18.6,Healthy,0
COW_15,2025-06-05,182,38.78,51.0,519.4,28.14,24.6,56.4,22.2,Healthy,0
COW_16,2025-06-05,77,38.78,75.0,465.2,32.57,18.6,70.7,17.9,Healthy,0
COW_17,2025-06-05,53,38.71,55.6,512.1,27.47,20.9,67.5,19.7,Healthy,0
COW_18,2025-06-05,36,38.6,77.7,486.6,25.97,20.9,85.6,20.4,Healthy,0
COW_19,2025-06-05,60,38.57,52.7,481.8,35.53,20.1,58.7,18.8,Healthy,0
COW_20,2025-06-05,231,38.86,41.5,441.4,35.14,19.5,61.9,18.4,Healthy,0
COW_21,2025-06-05,91,38.62,54.4,500.8,22.59,21.1,66.6,19.9,Healthy,0
COW_22,2025-06-05,210,38.65,37.3,467.6,20.43,20.4,48.7,18.7,Healthy,0
COW_23,2025-06-05,24,38.49,58.1,491.4,33.99,18.4,54.2,17.4,Healthy,0
COW_24,2025-06-05,154,38.77,63.7,445.7,25.6,20.4,74.1,19.5,Healthy,0
COW_25,2025-06-05,211,38.64,53.5,438.4,22.32,22.3,74.9,21.2,Healthy,0
COW_26,2025-06-05,91,38.92,54.8,475.8,26.69,17.9,75.3,17.5,Healthy,0
COW_27,2025-06-05,29,38.49,66.5,545.4,32.09,21.2,53.0,19.5,Healthy,0
COW_28,2025-06-05,185,38.66,36.5,482.1,21.52,19.4,63.7,18.4,Healthy,0
COW_29,2025-06-05,95,38.8,62.3,474.3,26.4,19.6,71.7,18.8,Healthy,0
COW_30,2025-06-05,178,38.74,56.7,469.1,28.6,22.0,60.1,20.3,Healthy,0
COW_01,2025-06-06,31,38.43,56.8,409.1,33.68,21.7,69.3,20.5,Healthy,0
COW_02,2025-06-06,199,38.51,52.5,499.4,29.79,20.2,64.1,19.1,Healthy,0
COW_03,2025-06-06,56,38.55,61.9,510.7,31.43,21.0,75.8,20.1,Healthy,0
COW_04,2025-06-06,53,38.69,58.7,501.1,25.09,17.1,49.0,16.4,Healthy,0
COW_05,2025-06-06,114,38.37,46.1,451.7,19.1,23.6,66.1,21.9,Healthy,0
COW_06,2025-06-06,193,38.45,57.7,473.3,26.21,22.7,52.0,20.6,Healthy,0
COW_07,2025-06-06,218,38.66,54.9,522.2,34.38,22.3,56.7,20.5,Healthy,0
COW_08,2025-06-06,181,38.42,45.3,493.3,33.31,20.6,72.4,19.7,Healthy,0
COW_09,2025-06-06,185,38.81,56.4,515.9,35.71,21.0,54.4,19.4,Healthy,0
COW_10,2025-06-06,246,38.5,61.5,486.8,27.94,19.2,65.5,18.3,Healthy,0
COW_11,2025-06-06,144,38.94,50.0,457.2,31.18,19.4,58.1,18.3,Healthy,0
COW_12,2025-06-06,45,38.32,52.3,445.2,20.02,22.2,71.9,21.1,Healthy,0
COW_13,2025-06-06,134,38.42,57.5,412.9,28.36,20.6,76.2,19.8,Healthy,0
COW_14,2025-06-06,115,38.79,51.5,463.2,32.07,19.9,59.6,18.7,Healthy,0
COW_15,2025-06-06,183,38.87,57.4,520.6,28.4,19.0,65.9,18.2,Healthy,0
COW_16,2025-06-06,78,38.6,69.2,440.9,31.8,20.8,67.0,19.7,Healthy,0
COW_17,2025-06-06,54,38.55,55.3,510.3,27.26,20.2,78.7,19.6,Healthy,0
COW_18,2025-06-06,37,38.59,63.7,476.2,27.28,22.4,57.4,20.6,Healthy,0
COW_19,2025-06-06,61,38.6,50.7,472.6,37.65,19.9,58.3,18.6,Healthy,0
COW_20,2025-06-06,232,38.91,39.0,485.4,36.78,19.4,65.8,18.5,Healthy,0
COW_21,2025-06-06,92,38.47,56.2,465.9,22.67,19.5,68.1,18.6,Healthy,0
COW_22,2025-06-06,211,38.58,45.4,480.9,22.25,20.9,60.7,19.5,Healthy,0
COW_23,2025-06-06,25,38.65,55.7,512.3,32.38,19.4,75.9,18.7,Healthy,0
COW_24,2025-06-06,155,38.91,69.9,447.3,24.93,19.6,50.5,18.2,Healthy,0
COW_25,2025-06-06,212,38.58,48.3,466.9,24.63,18.5,55.8,17.5,Healthy,0
COW_26,2025-06-06,92,38.85,46.3,490.9,23.5,20.9,57.6,19.4,Healthy,0
COW_27,2025-06-06,30,38.59,60.3,577.1,33.63,20.7,69.1,19.6,Healthy,0
COW_28,2025-06-06,186,38.77,51.2,503.2,15.61,23.2,70.1,21.8,Healthy,0
COW_29,2025-06-06,96,38.91,64.4,450.5,28.41,20.1,59.0,18.8,Healthy,0
COW_30,2025-06-06,179,38.96,66.6,486.8,31.0,21.4,65.9,20.1,Healthy,0
COW_01,2025-06-07,32,38.38,62.2,423.2,33.03,22.4,66.8,21.0,Healthy,0
COW_02,2025-06-07,200,38.57,38.5,485.9,26.79,17.6,59.6,16.9,Healthy,0
COW_03,2025-06-07,57,38.68,54.5,468.3,29.99,21.2,54.6,19.5,Healthy,0
COW_04,2025-06-07,54,38.64,59.2,511.4,23.22,20.5,73.2,19.6,Healthy,0
COW_05,2025-06-07,115,38.4,46.3,496.7,16.17,18.6,66.7,17.8,Healthy,0
COW_06,2025-06-07,194,38.63,73.9,455.5,23.65,18.1,67.1,17.4,Healthy,0
COW_07,2025-06-07,219,38.71,66.2,497.6,36.01,19.3,67.7,18.5,Healthy,0
COW_08,2025-06-07,182,38.4,55.6,510.9,33.31,23.4,66.7,21.8,Healthy,0
COW_09,2025-06-07,186,38.54,57.9,516.5,36.33,23.2,70.1,21.7,Healthy,0
COW_10,2025-06-07,247,38.57,64.3,472.1,26.61,17.0,60.0,16.5,Healthy,0
COW_11,2025-06-07,145,38.97,48.8,466.2,31.48,21.2,70.6,20.1,Healthy,0
COW_12,2025-06-07,46,38.59,52.9,466.5,20.75,19.9,51.3,18.4,Healthy,0
COW_13,2025-06-07,135,38.52,53.1,425.4,25.71,21.7,69.7,20.5,Healthy,0
COW_14,2025-06-07,116,38.75,49.3,465.9,33.16,20.4,63.0,19.2,Healthy,0
COW_15,2025-06-07,184,38.9,56.0,529.2,30.35,22.5,65.6,21.0,Healthy,0
COW_16,2025-06-07,79,38.66,63.5,430.2,34.5,24.8,68.6,23.0,Healthy,0
COW_17,2025-06-07,55,38.82,48.6,484.6,26.26,20.9,72.2,20.0,Healthy,0
COW_18,2025-06-07,38,38.53,65.2,463.8,31.43,21.2,60.5,19.8,Healthy,0
COW_19,2025-06-07,62,38.48,57.6,518.1,35.81,20.8,73.6,19.9,Healthy,0
COW_20,2025-06-07,233,38.91,48.4,454.2,37.2,21.2,76.9,20.3,Healthy,0
COW_21,2025-06-07,93,38.47,56.7,493.0,24.19,19.9,65.1,18.9,Healthy,0
COW_22,2025-06-07,212,38.39,44.5,470.8,20.6,21.8,76.3,20.9,Healthy,0
COW_23,2025-06-07,26,38.42,60.7,518.2,34.47,20.1,58.5,18.8,Healthy,0
COW_24,2025-06-07,156,38.93,73.8,456.0,26.48,20.5,63.0,19.3,Healthy,0
COW_25,2025-06-07,213,38.63,52.1,457.1,24.03,21.8,61.9,20.3,Healthy,0
COW_26,2025-06-07,93,38.81,45.0,478.8,22.32,19.4,61.6,18.3,Healthy,0
COW_27,2025-06-07,31,38.46,56.3,568.2,33.67,20.5,64.3,19.3,Healthy,0
COW_28,2025-06-07,187,38.91,43.3,461.4,19.78,20.7,70.2,19.7,Healthy,0
COW_29,2025-06-07,97,38.78,63.1,476.4,26.07,22.3,66.1,20.9,Healthy,0
COW_30,2025-06-07,180,38.96,68.2,477.7,28.07,19.6,73.0,18.8,Healthy,0
COW_01,2025-06-08,33,38.51,61.3,425.8,33.65,19.4,62.4,18.4,Healthy,0
COW_02,2025-06-08,201,38.56,47.0,508.3,30.65,23.6,64.4,21.8,Healthy,0
COW_03,2025-06-08,58,38.68,53.1,511.7,30.73,21.6,67.0,20.3,Healthy,0
COW_04,2025-06-08,55,38.79,60.1,515.5,22.92,20.7,70.6,19.7,Healthy,0
COW_05,2025-06-08,116,38.32,50.1,478.6,16.26,19.7,43.0,18.1,Healthy,0
COW_06,2025-06-08,195,38.45,67.8,439.0,24.31,23.1,58.7,21.2,Healthy,0
COW_07,2025-06-08,220,38.74,68.3,541.6,30.89,20.4,66.1,19.3,Healthy,0
COW_08,2025-06-08,183,38.42,46.5,541.5,36.53,20.4,64.7,19.2,Healthy,0
COW_09,2025-06-08,187,38.74,56.5,528.5,35.27,20.4,55.3,19.0,Healthy,0
COW_10,2025-06-08,248,38.47,55.1,486.6,27.05,18.2,66.7,17.5,Healthy,0
COW_11,2025-06-08,146,38.99,51.2,457.9,33.13,21.9,70.1,20.7,Healthy,0
COW_12,2025-06-08,47,38.53,58.5,485.3,20.88,20.4,55.5,19.0,Healthy,0
COW_13,2025-06-08,136,38.77,53.8,425.1,26.86,21.9,68.1,20.6,Healthy,0
COW_14,2025-06-08,117,38.73,42.8,434.8,31.22,20.0,58.5,18.7,Healthy,0
COW_15,2025-06-08,185,38.73,51.3,517.3,28.61,20.9,57.5,19.4,Healthy,0
COW_16,2025-06-08,80,38.48,62.5,458.0,34.07,19.8,64.0,18.7,Healthy,0
COW_17,2025-06-08,56,38.6,55.5,511.4,26.66,21.2,64.8,19.9,Healthy,0
COW_18,2025-06-08,39,38.41,60.2,453.2,29.37,23.1,60.5,21.2,Healthy,0
COW_19,2025-06-08,63,38.41,65.3,534.1,32.36,21.4,59.2,19.9,Healthy,0
COW_20,2025-06-08,234,39.02,43.3,459.3,36.81,21.3,78.4,20.5,Healthy,0
COW_21,2025-06-08,94,38.63,64.3,462.2,21.46,25.8,62.8,23.5,Healthy,0
COW_22,2025-06-08,213,38.58,46.6,463.5,21.83,21.5,74.8,20.5,Healthy,0
COW_23,2025-06-08,27,38.55,48.0,484.0,34.15,22.6,56.6,20.6,Healthy,0
COW_24,2025-06-08,157,39.0,73.6,471.4,26.66,21.6,66.7,20.3,Healthy,0
COW_25,2025-06-08,214,38.42,64.5,474.5,23.83,22.9,60.8,21.1,Healthy,0
COW_26,2025-06-08,94,38.88,49.4,526.6,20.24,22.3,65.1,20.8,Healthy,0
COW_27,2025-06-08,32,38.69,57.6,554.0,31.15,21.5,70.3,20.4,Healthy,0
COW_28,2025-06-08,188,38.77,46.7,484.3,20.55,21.2,62.3,19.8,Healthy,0
COW_29,2025-06-08,98,38.74,55.4,474.4,26.33,19.5,71.8,18.7,Healthy,0
COW_30,2025-06-08,181,39.0,56.3,455.2,28.5,22.4,64.5,20.9,Healthy,0
COW_01,2025-06-09,34,38.4,57.8,417.3,34.95,20.8,72.7,19.8,Healthy,0
COW_02,2025-06-09,202,38.62,48.9,492.8,28.12,19.8,57.9,18.6,Healthy,0
COW_03,2025-06-09,59,38.69,52.5,468.5,29.16,20.9,55.0,19.4,Healthy,0
COW_04,2025-06-09,56,38.7,59.2,523.1,18.84,19.9,55.5,18.6,Healthy,0
COW_05,2025-06-09,117,38.37,42.6,476.9,20.78,23.9,63.6,22.0,Healthy,0
COW_06,2025-06-09,196,38.45,56.0,458.4,22.62,19.7,68.6,18.8,Healthy,0
COW_07,2025-06-09,221,38.7,65.2,545.2,35.37,21.7,50.2,19.8,Healthy,0
COW_08,2025-06-09,184,38.49,42.4,520.3,34.34,23.8,74.7,22.5,Healthy,0
COW_09,2025-06-09,188,38.81,60.9,487.7,37.87,23.1,80.7,22.2,Healthy,0
COW_10,2025-06-09,249,38.43,62.6,464.9,27.17,21.6,67.4,20.4,Healthy,0
COW_11,2025-06-09,147,38.92,47.9,448.4,32.11,26.3,62.0,23.9,Healthy,0
COW_12,2025-06-09,48,38.63,45.9,459.4,22.01,22.7,63.2,21.1,Healthy,0
COW_13,2025-06-09,137,38.51,62.4,419.8,29.2,22.9,64.9,21.3,Healthy,0
COW_14,2025-06-09,118,38.44,48.5,424.3,32.61,23.9,68.2,22.2,Healthy,0
COW_15,2025-06-09,186,38.73,46.1,517.1,26.03,20.6,61.8,19.3,Healthy,0
COW_16,2025-06-09,81,38.63,70.7,445.2,29.71,23.0,74.0,21.8,Healthy,0
COW_17,2025-06-09,57,38.39,48.8,486.7,28.85,22.4,69.9,21.1,Healthy,0
COW_18,2025-06-09,40,38.68,65.9,468.4,27.59,23.6,81.8,22.6,Healthy,0
COW_19,2025-06-09,64,38.56,53.4,509.7,36.25,20.7,63.6,19.5,Healthy,0
COW_20,2025-06-09,235,38.9,40.3,456.3,34.23,22.9,58.4,21.0,Healthy,0
COW_21,2025-06-09,95,38.42,53.7,442.9,23.19,23.3,57.7,21.2,Healthy,0
COW_22,2025-06-09,214,38.53,42.6,501.0,21.33,20.4,85.4,19.9,Healthy,0
COW_23,2025-06-09,28,38.64,56.7,521.1,34.03,23.7,68.8,22.1,Healthy,0
COW_24,2025-06-09,158,38.83,56.3,432.2,25.53,21.6,53.2,19.8,Healthy,0
COW_25,2025-06-09,215,38.48,61.5,496.8,18.92,22.9,64.0,21.2,Healthy,0
COW_26,2025-06-09,95,38.92,52.4,494.5,23.81,21.0,69.9,19.9,Healthy,0
COW_27,2025-06-09,33,38.61,60.3,575.4,34.81,23.7,72.9,22.4,Healthy,0
COW_28,2025-06-09,189,38.77,53.5,504.1,19.52,18.9,63.8,18.0,Healthy,0
COW_29,2025-06-09,99,38.74,66.9,447.2,26.18,21.0,57.2,19.5,Healthy,0
COW_30,2025-06-09,182,38.91,56.4,502.4,30.03,22.9,66.3,21.4,Healthy,0
COW_01,2025-06-10,35,38.28,59.3,423.9,33.58,23.6,71.3,22.2,Healthy,0
COW_02,2025-06-10,203,38.45,52.4,531.1,26.94,23.1,56.7,21.1,Healthy,0
COW_03,2025-06-10,60,38.73,55.5,457.9,29.21,24.0,73.5,22.6,Healthy,0
COW_04,2025-06-10,57,38.65,57.9,478.4,21.04,21.2,84.7,20.7,Healthy,0
COW_05,2025-06-10,118,38.18,46.7,491.6,19.63,24.0,55.7,21.7,Healthy,0
COW_06,2025-06-10,197,38.52,61.4,454.1,25.1,23.4,64.0,21.7,Healthy,0
COW_07,2025-06-10,222,38.67,64.9,517.0,35.41,23.9,66.0,22.1,Healthy,0
COW_08,2025-06-10,185,38.44,46.2,531.1,33.45,23.4,64.3,21.7,Healthy,0
COW_09,2025-06-10,189,38.43,55.5,485.7,33.04,24.1,62.8,22.2,Healthy,0
COW_10,2025-06-10,250,38.54,58.9,461.1,24.91,21.7,64.9,20.3,Healthy,0
COW_11,2025-06-10,148,38.9,44.4,452.1,33.37,21.5,61.2,20.0,Healthy,0
COW_12,2025-06-10,49,38.63,55.6,439.4,23.56,22.0,71.2,20.8,Healthy,0
